category,Mean Gain,N Features Used
Chirality/charge,23.815643688042957,36
Core physicochemical,20.857200669812727,111
Morgan fingerprint,20.318460796101746,2691
Extended descriptors,18.344871340689554,1797
SMARTS fragments,17.29769000790336,55
Topo Torsion fp,15.188160684725094,2054
MACCS keys,14.734352636068149,753
Engineered features,14.156690687575239,47
3D AUTOCORR,13.455293767091607,952
Atom Pair fp,12.832639518449167,4535
3D WHIM,12.077092748165343,1117
